"","V1","V2","V3","V4","V5","V6","V7"
"1",0.0798282839253174,0.0619100717485925,0.361764070869798,0.156482070867866,0.161486913352778,0,0.161355860250092
"2",0.0798282839253174,0.0619100717485925,0.361764070869798,0.156482070867866,0.161486913352778,0,0.161355860250092
"3",0,0,0,0,0,0,0
"4",0,0,0,0,0,0,0
"5",0,0,0,0,0,0,0
"6",0,0,0,0,0,0,0
"7",0,0,0,0,0,0,0
"8",0,0,0,0,0,0,0
"9",0.0201509312920921,0.0133731003836305,0.00841027029219541,0.0223766784940505,0,0,0.0169885611676051
"10",0.0201509312920921,0.0133731003836305,0.00841027029219541,0.0223766784940505,0,0,0.0169885611676051
"11",0,0,0,0,0,0,0
"12",0,0,0,0,0,0,0
"13",0,0,0,0,0,0,0
"14",0,0,0,0,0,0,0
"15",0.202157795834763,0.239636089369654,0.127585440687791,0.123666742105035,0.0642167307066727,0,0.258998141716588
"16",0.202157795834763,0.239636089369654,0.127585440687791,0.123666742105035,0.0642167307066727,0,0.258998141716588
"17",0.0772704172836868,0.0846088048395232,0.878869673610522,0.866090241738804,0.292380764827722,0.0512196911011124,0.144767245691576
"18",0.0772704172836868,0.0846088048395232,0.878869673610522,0.866090241738804,0.292380764827722,0.0512196911011124,0.144767245691576
"19",0.10707572571997,0.094621676316383,0.145667506003078,0.131186772459962,0.0222390972382616,0.121067948529568,0.127445275439017
"20",0.10707572571997,0.094621676316383,0.145667506003078,0.131186772459962,0.0222390972382616,0.121067948529568,0.127445275439017
"21",0.0410952333669992,0.0258014943236621,0.035775078534542,0.0321321501560621,0.0477420982070753,0.0791284116552936,0.0331261445020731
"22",0,0,0.00955217100291879,0,0,0,0
"23",0.0153234085619613,0.0205780992146293,0.0254814596139126,0,0,0,0.0122419651850628
"24",0.00755068698034099,0.012112734929252,0.00701782314600474,0.00619418042148697,0,0,0
"25",0.132830717292674,0.0945845568479462,0.142146461143453,0.089703996319236,0.172787349602309,0,0.13959033009644
"26",0.0156090035135414,0.00839133764675866,0.0425120432610023,0.0310012180474737,0.0118503182808826,0,0.00598740998690673
"27",0.0558601499515827,0.034269548869892,0.00836006977164173,0.037621547794618,0.0120112009761441,0,0.0224905580854488
"28",0.00857576287543993,0.00447989718779221,0.0276336165194669,0.0171335216229516,0.0108869810490921,0,0.00546557189194547
"29",0,0,0,0,0,0,0
"30",0.0390281845989154,0.0339029891705083,0,0.00657920919937944,0,0,0.0217711093999536
"31",0.0176430275596829,0.0393095369751694,0,0,0.0127950728848512,0,0.00511399289675441
"32",0.0120470579737968,0.00853833672609884,0.00930666155750443,0,0,0,0.00572471114496943
"33",0,0,0,0,0,0,0
"34",0,0,0,0,0,0,0
"35",0.0036406077219728,0,0.00902113968044373,0.0465833041465976,0,0,0
"36",0.00416348226139406,0,0,0.00799303088051075,0,0,0.00543012424260404
"37",0,0,0,0,0,0,0
"38",0.0419031940836022,0.0536056954704388,0.126641734533951,0.115053702381853,0.0138496990964354,0,0.0711117768116494
"39",0.414234785574401,0.3570659377263,0,0.00894481654688917,0.175292560608521,0.0478998906785171,0.306557830879263
"40",0.109441439498974,0.0897086751836623,0.109501694838306,0.0726841243260564,0.115993614846893,0.144137957579673,0.0714489763396254
"41",0,0,0,0,0,0,0
"42",0.0257654594992653,0.0395806183173912,0,0,0,0,0.00425334208606997
"43",0,0,0.0110530633120637,0.0602340332217657,0,0,0.0114954218152241
"44",0.0158923897226421,0.00819595549184019,0.00770966121326729,0.00782701502156598,0,0.382371109238122,0.00579666972452468
"45",0,0,0,0,0,0,0
"46",0.0687608632466415,0.121299269632743,0,0,0,0,0.0416221875164702
"47",0,0.00852387742505606,0,0,0,0.0419046375033397,0.00499981155080029
"48",0,0,0,0,0,0.053005705723598,0
"49",0.0723756785746546,0.0639836438806472,0.0707533090024335,0.0963547566329845,0.0827114631190213,0.129673448720002,0.0924648048169794
"50",0.0295118262590398,0.0224410569802246,0.0364121970865054,0.0341728038399105,0,0,0.00598740998690673
"51",0,0.00420026915475194,0,0.0146721827093853,0,0,0.0166638316519285
"52",0.0147834497259092,0.0243930190289305,0,0,0,0,0.00568346926894774
"53",0.0306981272669009,0.00520560233327296,0.0108188523936354,0.0418495198772328,0.0697530642367651,0,0.0285630526757382
